Name,Description,North,South,East,West,X,Y
Supermarkt Gllamping,Dit is de supermarkt voor yuppen.,Camper Camping,Hoofdpad Camping 8,Gllamping,Gllamping Deluxe,-1,15
Gllamping Deluxe,Dit is de superyuppen camping,,,Supermarkt Gllamping,,-2,15
Gllamping,Dit is de yuppencamping,,,,Supermarkt Gllamping,0,15
Camper Camping,Dit is de ouwelullencamping,,Supermarkt Gllamping,,,-1,16
Hacienda,Welkom bij de Hacienda. Wil je toevallig slechte muziek en overpriced cocktails?,,Eettentjes - Vleesch,Cape Lowlands,,1,10
Eettentjes - Vleesch,Je kan hier kklekker vlees halen.,Hacienda,Tafelvoetbal,Armadillow Noord - Rotdog,,1,9
Tafelvoetbal,Je loopt langs het tafelvoetbal. Wil je een potje tafelvoetbal spelen? Je kan daar echt milfs mee oppikken.,Eettentjes - Vleesch,Merchandise - Oorbescherming,Armadillow Zuid,,1,8
Merchandise - Oorbescherming,Je bent binnen bij het paradijs. Je realiseert je dat je geen dopjes hebt meegenomen. Wil je afgetroggeld worden? :),Tafelvoetbal,WCs Bravo,Plein Armadillow - Bravo,Terreiningang Zuid,1,7
WCs Bravo,"Dit zijn de WCs van de Bravo. Omdat het nog overdag is, is er nog geen hond",Merchandise - Oorbescherming,Adonis,Bravo Noord,,1,6
Adonis,Dit is de Adonis. Vertel een verhaal over de Adonis,WCs Bravo,,Bravo Zuid,,1,5
Cape Lowlands,Blijkbaar heet dit Cape Lowlands. Maar er is hier niet zoveel te kapen.,Bottleneck Zuid,Armadillow Noord - Rotdog,X-Ray,Hacienda,2,10
Armadillow Noord - Rotdog,Dit is het noorden van de Armadillow. Wil je een Rotdog halen? Y/N,Cape Lowlands,Armadillow Zuid,Bar India 1,Eettentjes - Vleesch,2,9
Armadillow Zuid,Dit is het zuiden van de Armadillow. Wil je een uitsmijter?? Verkopen ze niet meer .:),Armadillow Noord - Rotdog,Plein Armadillow - Bravo,India,Tafelvoetbal,2,8
Plein Armadillow - Bravo,"Dit is het plein tussen de Armadillow, Bravo, en India.",Armadillow Zuid,Bravo Noord,Bar India 2,Merchandise - Oorbescherming,2,7
Bravo Noord,Dit is het noorden van de Bravo. ,Plein Armadillow - Bravo,Bravo Zuid,Vodaphone Paal,WCs Bravo,2,6
Bravo Zuid,Dit is het zuiden van de Bravo. Je komt er niet tussen.,Bravo Noord,,The Block,Adonis,2,5
X-Ray,Dit is de X-Ray,,Bar India 1,,Cape Lowlands,3,10
Bar India 1,Dit is de noordelijke bar van de India,X-Ray,India,,Armadillow Noord - Rotdog,3,9
India,Dit is de India.,Bar India 1,Bar India 2,,Armadillow Zuid,3,8
Bar India 2,Dit is de zuidelijke bar van de India,India,Vodaphone Paal,,Plein Armadillow - Bravo,3,7
Vodaphone Paal,Dit is die vage constructie van Vodaphone waar je op kan klimmen en dood kan gaan.,Bar India 2,The Block,,Bravo Noord,3,6
The Block,"Dit is The Block. Je kan hier overpriced shit halen, of een jonko laten rollen.",Vodaphone Paal,,,Bravo Zuid,3,5
Heineken Bar 1,Dit is de bar van de Heineken,,Heineken,Vegan Kapsalon,,0,14
Heineken,Dit is de Heineken,Heineken Bar 1,Heineken WC,Oesters,,0,13
Heineken WC,Dit is het toilet van de Heineken,Heineken,,Planet Paradise,,0,12
Vegan Kapsalon,Je kan hier vegan kapsa halen. LEKKER HE?!,,Oesters,Vereniging Eigen Tent,Heineken Bar 1,1,14
Oesters,"Pog, oesters halen voor 3,50 per stuk. : )",Vegan Kapsalon,Planet Paradise,Bierlokaal,Heineken,1,13
Planet Paradise,Dit is... Planet Paradise I guess???,Oesters,The School of Life,Worsterij,Heineken WC,1,12
The School of Life,Dit is The School of Life. Wist je dat ik filosofie had gestudeerd?,Planet Paradise,Aziatische Eettentjes,,,1,11
Aziatische Eettentjes,Dit zijn die aziatische tentjes waar je kimchi kan halen,The School of Life,,Bottleneck Zuid,Terreiningang Noord,1,10
Vereniging Eigen Tent,Dit is dat gedeelte van Vereniging Eigen Tent. Wist je dat ik bij mn ouders woon?,,Bierlokaal,Lima,Vegan Kapsalon,2,14
Bierlokaal,Zin in speciaalbier? Dit is het Bierlokaal,Vereniging Eigen Tent,Worsterij,Fruitsapje,Oesters,2,13
Worsterij,Dit is de Worsterij. Of je worst lust,Bierlokaal,Bottleneck Noord,Echo - Merch,Planet Paradise,2,12
Bottleneck Noord,"Dit is de hel, oftewel de Bottleneck van Lowlands (noord).",Worsterij,Bottleneck Zuid,WCs Bottleneck,,2,11
Bottleneck Zuid,"Dit is de hel, oftewel de Bottleneck van Lowlands (zuid).",Bottleneck Noord,Cape Lowlands,Openluchtatelier,Aziatische Eettentjes,2,10
Lima,"Dit is de Lima, oftewel de beste tent van Lowlands",,Fruitsapje,Llakeside Market West,Vereniging Eigen Tent,3,14
Fruitsapje,"Je ziet er brak uit, volgens mij heb je een vruchtensapje nodig.",Lima,Echo - Merch,,Bierlokaal,3,13
Echo - Merch,Hier kan je naar de Echo of Merch kopen,Fruitsapje,,Juliet,Worsterij,3,12
WCs Bottleneck,Dit zijn de vieze WCs bij de bottleneck.,,Openluchtatelier,,Bottleneck Noord,3,11
Openluchtatelier,"Hier is, blijkbaar, het openluchtatelier. Ik ben hier nog nooit geweest; maar hadden Os en Tillie hier niet gepaald?",WCs Bottleneck,,,Bottleneck Zuid,3,10
Llakeside Market West,Dit is het westen van de Llakeside Market waar ik die kekke pet heb gekocht.,,,Llakeside Market Oost,Lima,4,14
Llakeside Market Oost,Dit is het oosten van de Llakeside Market met die shitty vintage winkeltje en de tattoos.,,,Llowzone,Llakeside Market West,5,14
Llowzone,Kom lekker ontspannen in de  Llowzone : ),,,Here be Dragons 1,Llakeside Market Oost,6,14
Here be Dragons 1,"Niemand weet wat hier zit, als je hier chillt dan raak je een beetje die magie kwijt van een eigen wereld.",,Here be Dragons 2,,Llowzone,7,14
Here be Dragons 2,"Niemand weet wat hier zit, en de mensen die hier chillen hebben een probleem.",Here be Dragons 1,Science Fair,,,7,13
Juliet,Filmpje kijken? Hier is de Juliet.,,,WCs Alpha,Echo - Merch,4,12
WCs Alpha,Dit zijn de WCs van de Alpha,,,Plein Alpha,Juliet,5,12
Plein Alpha,Dit is dat plein van de Alpha met die vlaggen waar je zo lekker in dat kapotte gras kan liggen.,,Alpha Noord,Science Fair,WCs Alpha,6,12
Science Fair,Wetenschap is belangrijk.,Here be Dragons 2,,,Plein Alpha,7,12
Chillheuvel West - toilet,"Dit is het westelijke chillheuvel, hier kan je naar het toilet.",,Chillheuvel West - bar,Alpha Noord,,5,11
Alpha Noord,Dit is het noorden van de Alpha,Plein Alpha,Alpha Zuid,Chillheuvel Oost - toilet,Chillheuvel West - toilet,6,11
Chillheuvel Oost - toilet,"Dit is het oostelijke chillheuvel, hier kan je naar het toilet.",,Chillheuvel Oost - bar,,Alpha Noord,7,11
Chillheuvel West - bar,"Dit is het westelijke chillheuvel, hier kan je bier halen.",Chillheuvel West - toilet,,Alpha Zuid,,5,10
Alpha Zuid,"Dit is het zuiden van de Alpha waar je, als je vroeg bent, platgedrukt worden in het voorvak.",Alpha Noord,,Chillheuvel Oost - bar,Chillheuvel West - bar,6,10
Chillheuvel Oost - bar,"Dit is het oostelijke chillheuvel, hier kan je bier halen.",Chillheuvel Oost - toilet,,,Alpha Zuid,7,10
